-40357365482.91,141473545745.36,147117235885.14,3.02	-73268873897.35,231667266956.23,242977469040.15,0.72
-42867950515.72,140727950519.73,147112260668.18,3.03	-75086214415.45,230947852629.87,242847380528.57,0.73
-45365015619.76,139938533054.82,147108047623.90,3.05	-76896402310.42,230213220970.65,242716261914.95,0.74
-47847809455.81,139105535009.25,147104597956.45,3.07	-78699306523.75,229463454499.97,242584125198.62,0.75
-50315584882.39,138229210457.52,147101912651.63,3.09	-80533746186.77,228681843925.19,242448076948.24,0.75
-52767599144.44,137309825821.67,147099992476.70,3.11	-82321528832.86,227901735687.50,242313918788.73,0.76
-55203114060.82,136347659800.72,147098837980.26,3.12	-84101638427.38,227106749083.80,242178779139.67,0.77
-57621396211.09,135343003297.82,147098449492.14,3.14	-85873948352.06,226296971269.77,242042670228.70,0.78
-60021717121.20,134296159345.20,147098827123.30,3.16	-87638333118.63,225472490510.86,241905604335.62,0.79
-62403353448.30,133207443026.75,147099970765.87,3.18	-89432759258.92,224614993362.34,241764583162.69,0.80
-64765587164.52,132077181398.48,147101880093.13,3.19	-91180742785.59,223761061155.60,241625620215.27,0.80
-67107705739.89,130905713406.65,147104554559.59,3.21	-92958155132.63,222873662294.08,241482686646.55,0.81
-69429002324.17,129693389803.65,147107993401.08,3.23	-94689238697.88,221990652682.68,241341877434.62,0.82
-71706335841.00,128453050933.29,147112150734.78,3.25	-96449132616.75,221073738675.81,241197083553.32,0.83
-73984112691.19,127160506626.58,147117107693.94,3.27	-98162827181.88,220162034230.08,241054479229.62,0.84
-76238989603.79,125828225091.55,147122825440.17,3.28	-99904708003.07,219216000209.92,240907877474.39,0.84
-78470284183.23,124456603307.48,147129302338.56,3.30	-101637300467.17,218255402566.44,240760382114.03,0.85
-80677320606.55,123046049606.47,147136536536.68,3.32	-103360482127.62,217280345372.67,240612006664.09,0.86
-82859429799.34,121596983575.88,147144525964.87,3.34	-105037771300.64,216312133763.00,240465948967.64,0.87
-85015949610.58,120109835958.47,147153268336.65,3.35	-106741975913.39,215308775787.75,240315872037.44,0.88
-87146224986.48,118585048550.22,147162761149.18,3.37	-108436412866.15,214291274226.18,240164955488.43,0.88
-89229119340.02,117038566589.28,147172897666.21,3.39	-110120965026.09,213259737087.90,240013212971.87,0.89
-91305242946.36,115440226425.05,147183875701.66,3.41	-111795516613.37,212214273323.14,239860658168.28,0.90
-93353207427.32,113805632419.97,147195595407.88,3.43	-113495256026.20,211132305614.94,239704033371.85,0.91
-95372387757.74,112135269412.42,147208053423.74,3.44	-115149245735.74,210059028705.86,239549878593.91,0.92
-97362166860.96,110429632750.12,147221246174.55,3.46	-116792893351.80,208972159853.90,239394953020.09,0.93
-99302869962.93,108706458071.00,147235029830.59,3.48	-118426088596.39,207871811594.00,239239270429.44,0.93
-101232331006.11,106932134863.50,147249673369.40,3.50	-120083131166.64,206734256871.90,239079508438.43,0.94
-103130594714.67,105124080722.57,147265039686.83,3.51	-121694868213.37,205607010043.09,238922337859.67,0.95
-104978934652.65,103301042588.02,147280963198.16,3.53	-123329773240.10,204442223558.08,238761085063.77,0.96
-106813381320.23,101427462207.73,147297754629.74,3.55	-124919618661.78,203288548060.57,238602483011.34,0.97
-108614911513.27,99521783308.72,147315255000.91,3.57	-126531949380.17,202097013013.10,238439797187.39,0.98
-110365798590.78,97603714730.59,147333277394.45,3.59	-128132711790.96,200892148684.11,238276409310.33,0.98
-112100170254.74,95635845051.94,147352173482.25,3.60	-129688812751.36,199699591080.42,238115759307.41,0.99
-113783492141.53,93657331789.04,147371567412.99,3.62	-131266365707.52,198468717413.42,237951025544.73,1.00
-115448572749.22,91629584987.29,147391837612.45,3.64	-132832036238.95,197224891400.92,237785633795.42,1.01
-117062255139.93,89592954107.15,147412580888.10,3.66	-134385721965.91,195968241035.58,237619598861.03,1.02
-118655988140.19,87507716192.93,147434201984.57,3.67	-135927322049.97,194698895012.91,237452935544.97,1.03
-120198033156.72,85415365314.05,147456270827.91,3.69	-137456737196.00,193416982710.13,237285658650.62,1.03
-121718440379.06,83275092423.73,147479218015.60,3.71	-139005345278.12,192095537262.25,237114279308.44,1.04
-123186928929.22,81129487471.14,147502587083.56,3.73	-140509839938.79,190788628180.36,236945807649.27,1.05
-124632112942.75,78936703561.77,147526833985.46,3.75	-142001859096.08,189469547571.46,236776767111.29,1.06
